NOMBRE_TUI;CATEGORIA_TUI;DIRECCION_TUI;LATITUD_TUI;LONGITUD_TUI;DESCRIPCION_TUI;WEBSITE;TELEFONO;HORARIO;Categoria_1;Categoria_2;Categoria_3
Pizzería ventas;hoteles;Calle Calvo Sotelo, 39 45183 Las Ventas de Retamosa, Spain;4015317;-411534;;https://americanroyalventas.es/;622 41 21 77;Monday: Closed | Tuesday: 7:30?–?11:00?PM | Wednesday: 7:30?–?11:00?PM | Thursday: 7:30?–?11:00?PM | Friday: 7:30?–?11:30?PM | Saturday: 7:30?–?11:30?PM | Sunday: 7:30?–?11:00?PM;;;
Jardineria roberto;hoteles;Calle Calvo Sotelo, 39 45183 Las Ventas de Retamosa, Spain;4015324;-411534;;;620 84 48 34;;;;
Decoraciones Goya Pinturas - Herramientas;hoteles;,  45183 Las Ventas de Retamosa, Spain;4015328;-411533;;;918 17 34 82;Monday: 9:30?AM?–?8:00?PM | Tuesday: 9:30?AM?–?8:00?PM | Wednesday: 9:30?AM?–?8:00?PM | Thursday: 9:30?AM?–?8:00?PM | Friday: 9:30?AM?–?8:00?PM | Saturday: 9:30?AM?–?8:00?PM | Sunday: Closed;;;
Parada De Autobus (Dirección Madrid);hoteles;Calle Calvo Sotelo, 39B 45183 Las Ventas de Retamosa, Spain;4015331;-411533;;;;;;;
Todo Escombros;hoteles;Calle Teniente Dimitri,  45183 Las Ventas de Retamosa, Spain;4015598;-411587;;;679 64 26 35;Monday: 7:00?AM?–?8:00?PM | Tuesday: 7:00?AM?–?8:00?PM | Wednesday: 7:00?AM?–?8:00?PM | Thursday: 7:00?AM?–?8:00?PM | Friday: 7:00?AM?–?8:00?PM | Saturday: Closed | Sunday: Closed;;;
Clinica Veterinaria Phobimalia;hoteles;Calle Teniente Dimitri, 22 45183 Las Ventas de Retamosa, Spain;4015601;-411585;;;616 44 29 20;Monday: 11:00?AM?–?2:00?PM, 5:00?–?9:00?PM | Tuesday: 11:00?AM?–?2:00?PM, 5:00?–?9:00?PM | Wednesday: 11:00?AM?–?2:00?PM, 5:00?–?9:00?PM | Thursday: 11:00?AM?–?2:00?PM, 5:00?–?9:00?PM | Friday: 11:00?AM?–?2:00?PM, 5:00?–?9:00?PM | Saturday: 11:00?AM?–?2:00?PM | Sunday: Closed;;;
Asador Pensión El Greco;hoteles;Calle Greco, 2 45183 Las Ventas de Retamosa, Spain;4015370;-411526;;http://asadorgreco.makro.bar/;918 17 35 15;Monday: 9:00?AM?–?5:00?PM | Tuesday: 9:00?AM?–?11:45?PM | Wednesday: 9:00?AM?–?11:45?PM | Thursday: 9:00?AM?–?11:45?PM | Friday: 9:00?AM?–?11:45?PM | Saturday: 9:00?AM?–?11:45?PM | Sunday: 9:00?AM?–?5:00?PM;;;
Hola mi amor;hoteles;Calle Calvo Sotelo, 35 45183 Las Ventas de Retamosa, Spain;4015376;-411522;;;;;;;
Parque;hoteles;,  45183 Las Ventas de Retamosa, Spain;4015904;-411688;;;;;;;
SERVICIO MUNICIPAL DE AGUAS (Oficina);hoteles;Calle Teniente Dimitri, 18 45183 Las Ventas de Retamosa, Spain;4015592;-411569;;;925 02 92 45;Monday: Closed | Tuesday: 11:00?AM?–?2:00?PM | Wednesday: 4:00?–?7:00?PM | Thursday: Closed | Friday: Closed | Saturday: Closed | Sunday: Closed;;;
Retamosa dental SLU;hoteles;Calle Calvo Sotelo, 29 45183 Las Ventas de Retamosa, Spain;4015398;-411519;;;;;;;
Lavado de coches;hoteles;Calle Teniente Dimitri, 20 45183 Las Ventas de Retamosa, Spain;4015577;-411557;;;641 92 44 22;Monday: 9:00?AM?–?2:00?PM, 4:00?–?8:00?PM | Tuesday: 9:00?AM?–?2:00?PM, 4:00?–?8:00?PM | Wednesday: 9:00?AM?–?2:00?PM, 4:00?–?8:00?PM | Thursday: 9:00?AM?–?2:00?PM, 4:00?–?8:00?PM | Friday: 9:00?AM?–?2:00?PM, 4:00?–?8:00?PM | Saturday: 9:00?AM?–?2:00?PM | Sunday: Closed;;;
Ruinas de molino de viento;hoteles;,  45950 Casarrubios del Monte, Spain;4017579;-406012;;;;;;;
El Viso de San Juan;hoteles;,  45215 El Viso de San Juan, Spain;4014373;-391964;;;;;;;
Forja Artística Ledesma;hoteles;Camino de las Viñas, 35 45213 Palomeque, Spain;4013175;-396406;;http://forjaledesma.es/;925 50 81 87;;;;
