NOMBRE_TUI;TIPOS_TUI;CATEGORIA_TUI;DIRECCION;RATING_TUI;TOTAL_VALORACIONES_TUI;PRECIO;ESTADO_NEGOCIO;LATITUD_TUI;LONGITUD_TUI;URL;WEBSITE;HORARIO;TELEFONO;RESERVA_POSIBLE;ACCESIBILIDAD_SILLA_RUEDAS
Nave 73;Galerías de arte;Cultura y arte;C. de Palos de la Frontera, 5, local 1, Arganzuela, 28012 Madrid, Spain;4,6;247;;Abierto;404031;369875;https://maps.google.com/?cid=12499277411937610397;http://nave73.es/;Monday: 6:30?–?10:30?PM | Tuesday: 10:30?AM?–?10:30?PM | Wednesday: 10:30?AM?–?10:30?PM | Thursday: 10:30?AM?–?10:30?PM | Friday: 10:30?AM?–?10:30?PM | Saturday: 6:30?–?10:30?PM | Sunday: 6:30?–?8:30?PM;917 04 95 83;FALSO;VERDADERO
Centro Mandala;Gimnasios;Bienestar y deporte;C. de la Cabeza, 15, 2º, Centro, 28012 Madrid, Spain;4,8;28;;Abierto;404119;370284;https://maps.google.com/?cid=3434983010372526083;http://centromandala.es/;;617 23 61 05;FALSO;FALSO
Tearoom Al Jabal;Cafés;Gastronomía y ocio nocturno;C. de Cáceres, 52, Arganzuela, 28045 Madrid, Spain;4,6;2168;Barato;Abierto;403990;370023;https://maps.google.com/?cid=15903423470642584609;https://www.teteriaalyabal.com/;Monday: Closed | Tuesday: Closed | Wednesday: 7:00?PM?–?2:00?AM | Thursday: 7:00?PM?–?2:00?AM | Friday: 6:00?PM?–?2:30?AM | Saturday: 5:00?PM?–?2:30?AM | Sunday: 4:00?PM?–?1:00?AM;660 45 50 95;VERDADERO;VERDADERO
SEVEN brands;Parques acuáticos, Parques de atracciones;Naturaleza y actividades al aire libre;C. de Luchana, 23, Chamberí, 28010 Madrid, Spain;0;0;;Abierto;404311;369993;https://maps.google.com/?cid=13669923894016209081;;;;FALSO;FALSO
CODO;Joyerías;Compras;C. Mayor, 57, Centro, 28013 Madrid, Spain;5;23;;Abierto;404156;370965;https://maps.google.com/?cid=10846550419346075850;https://tiendascodo.com/;Monday: 10:00?AM?–?9:00?PM | Tuesday: 10:00?AM?–?9:00?PM | Wednesday: 10:00?AM?–?9:00?PM | Thursday: 10:00?AM?–?9:00?PM | Friday: 10:00?AM?–?9:00?PM | Saturday: 10:00?AM?–?9:00?PM | Sunday: 10:00?AM?–?9:00?PM;917 65 22 96;FALSO;FALSO
F.E.H.L. - Ambassade du G. D. de Luxembourg;Consulados, Embajadas;Instituciones y servicios públicos;C. de Claudio Coello, 99, 2è étage, Salamanca, 28006 Madrid, Spain;0;0;;Abierto;404206;368713;https://maps.google.com/?cid=6723117789183051234;;;915 63 27 63;FALSO;FALSO
Pasarela;Zapaterías;Compras;Pl. de Sta. María Soledad Torres Acosta, 1, Centro, 28004 Madrid, Spain;0;0;;Abierto;404210;370510;https://maps.google.com/?cid=8203489002304853358;;Monday: 10:00?AM?–?9:00?PM | Tuesday: 10:00?AM?–?9:00?PM | Wednesday: 10:00?AM?–?9:00?PM | Thursday: 10:00?AM?–?9:00?PM | Friday: 10:00?AM?–?9:00?PM | Saturday: 10:00?AM?–?9:00?PM | Sunday: Closed;915 23 22 62;FALSO;VERDADERO
HRC Hotel;Albergues, Apartamentos turísticos, Hostales, Hoteles;Alojamiento;C/ Ángel 18, C. de Calatrava, 32, Centro, 28005 Madrid, Spain;3,7;716;;Cerrado temporalmente;404098;371308;https://maps.google.com/?cid=5567993649508888452;;;913 65 86 00;FALSO;VERDADERO
Thyssen-Bornemisza National Museum;Centros culturales, Montañas, Museos, Oficinas de turismo, Senderismo;Cultura y arte, Instituciones y servicios públicos, Naturaleza y actividades al aire libre;P.º del Prado, 8, Centro, 28014 Madrid, Spain;4,7;44024;;Abierto;404160;369492;https://maps.google.com/?cid=6526642166440874639;https://www.museothyssen.org/;Monday: 12:00?–?4:00?PM | Tuesday: 10:00?AM?–?7:00?PM | Wednesday: 10:00?AM?–?7:00?PM | Thursday: 10:00?AM?–?7:00?PM | Friday: 10:00?AM?–?7:00?PM | Saturday: 10:00?AM?–?7:00?PM | Sunday: 10:00?AM?–?7:00?PM;917 91 13 70;FALSO;VERDADERO
ACT Videobooks;Cines, Teatros;Cultura y arte;Carrera de San Francisco, 12, Centro, 28005 Madrid, Spain;5;2;;Abierto;404109;371305;https://maps.google.com/?cid=16978564337388673315;;Monday: 10:00?AM?–?5:00?PM | Tuesday: 10:00?AM?–?5:00?PM | Wednesday: 10:00?AM?–?5:00?PM | Thursday: 10:00?AM?–?5:00?PM | Friday: 10:00?AM?–?5:00?PM | Saturday: Closed | Sunday: Closed;687 40 82 75;FALSO;FALSO
Libros Políticos;Bibliotecas;Cultura y arte;C. de Preciados, 34, Centro, 28013 Madrid, Spain;0;0;;Abierto;404197;370664;https://maps.google.com/?cid=5039197532899663155;;;;FALSO;VERDADERO
Rosewood Villa Magna;Gimnasios, Piscinas, Restaurantes, Spas, Tapas, Vegano, Vegetariano;Bienestar y deporte, Gastronomía y ocio nocturno;P.º de la Castellana, 22, Salamanca, 28046 Madrid, Spain;4,5;2726;;Abierto;404299;368815;https://maps.google.com/?cid=18097740999830843947;https://www.rosewoodhotels.com/en/villa-magna;;915 87 12 34;FALSO;VERDADERO
