PLACE_ID;NOMBRE_TUI;TIPOS_API;TIPOS_TODOS;CATEGORIA_TUI;DIRECCION;RATING_TUI;TOTAL_VALORACIONES_TUI;PRECIO;ESTADO_NEGOCIO;LATITUD_TUI;LONGITUD_TUI;URL;WEBSITE;HORARIO;TELEFONO;RESERVA_POSIBLE;ACCESIBILIDAD_SILLA_RUEDAS
ChIJQ5Gc6p0nQg0RIJUem1BvDR8;Popular Bank ATM;Cajeros automáticos;"atm; finance; point_of_interest; establishment";Servicios;C. de Méndez Álvaro, 83, Arganzuela, 28045 Madrid, Spain;47;3;No Disponible;Abierto;4,03957E+16;-3,67785E+16;https://www.google.com/maps/place/?q=place_id:ChIJQ5Gc6p0nQg0RIJUem1BvDR8;http://www.euroautomaticcash.es/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours'];913 34 07 61;FALSO;VERDADERO
ChIJ240FG3UnQg0R5fjsL8YZI4Q;Cajero automático Bankinter;Cajeros automáticos;"atm; finance; point_of_interest; establishment";Servicios;C. de Embajadores, 208, Arganzuela, 28045 Madrid, Spain;50;1;No Disponible;Abierto;4,03907E+16;-3,69284E+16;https://www.google.com/maps/place/?q=place_id:ChIJ240FG3UnQg0R5fjsL8YZI4Q;https://www.bankinter.com/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours'];902 36 55 63;FALSO;VERDADERO
ChIJIeZflhAmQg0R4MlcJ7iPZgA;Santander ATM;Cajeros automáticos;"atm; finance; point_of_interest; establishment";Servicios;C. de Sánchez Barcáiztegui, 3, Retiro, 28007 Madrid, Spain;30;2;No Disponible;Abierto;404025536;-36760072;https://www.google.com/maps/place/?q=place_id:ChIJIeZflhAmQg0R4MlcJ7iPZgA;;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours'];902 24 24 24;FALSO;FALSO
ChIJgQ6Um1UnQg0Rjpy0zqIWufg;Euronet ATM;Cajeros automáticos;"atm; finance; point_of_interest; establishment";Servicios;Rafael Hoteles, C. de Méndez Álvaro, 30, Arganzuela, 28045 Madrid, Spain;;0;No Disponible;Abierto;40401336;-3,68716E+16;https://www.google.com/maps/place/?q=place_id:ChIJgQ6Um1UnQg0Rjpy0zqIWufg;https://www.euronetatms.es/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours'];912 86 84 48;FALSO;FALSO
ChIJJ2SFYxcmQg0ROGOwKp47Y2o;Cajero Banco Sabadell;Cajeros automáticos;"atm; finance; point_of_interest; establishment";Servicios;Av. de la Ciudad de Barcelona, 140, Retiro, 28007 Madrid, Spain;;0;No Disponible;Abierto;404031764;-3,67924E+16;https://www.google.com/maps/place/?q=place_id:ChIJJ2SFYxcmQg0ROGOwKp47Y2o;https://www.bancsabadell.com/bsnacional/ca/cercador-doficines-i-caixers/;;963 08 50 00;FALSO;FALSO
ChIJcVnESJgnQg0Rl4qu0Pm5ecA;ATM CaixaBank - Cajero;Cajeros automáticos;"atm; finance; point_of_interest; establishment";Servicios;C. de Juan de Mariana, 28, Arganzuela, 28045 Madrid, Spain;;0;No Disponible;Abierto;40398629;-36849469;https://www.google.com/maps/place/?q=place_id:ChIJcVnESJgnQg0Rl4qu0Pm5ecA;https://www.caixabank.es/particular/home/particulares_es.html?Origen=GMB;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours'];900 404 090;FALSO;FALSO
ChIJJ5_HpSQnQg0RbsYSihnxDbE;ATM CaixaBank - Cajero;Cajeros automáticos;"atm; finance; point_of_interest; establishment";Servicios;Av. de la Ciudad de Barcelona, 136, Retiro, 28007 Madrid, Spain;;0;No Disponible;Abierto;404039219;-3,68045E+16;https://www.google.com/maps/place/?q=place_id:ChIJJ5_HpSQnQg0RbsYSihnxDbE;https://www.caixabank.es/particular/home/particulares_es.html?Origen=GMB;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours'];900 404 090;FALSO;FALSO
ChIJidVUoAomQg0RyjlFjUJxVxs;Bbk;Cajeros automáticos;"atm; finance; point_of_interest; establishment";Servicios;Av. de la Albufera, 77, Puente de Vallecas, 28037 Madrid, Spain;37;3;No Disponible;Abierto;4,03949E+15;-3,66248E+16;https://www.google.com/maps/place/?q=place_id:ChIJidVUoAomQg0RyjlFjUJxVxs;https://kutxa.kutxabank.es/;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours'];;FALSO;FALSO
ChIJAQmzaConQg0RSUCKCIqgAyc;ATM CaixaBank - Cajero;Cajeros automáticos;"atm; finance; point_of_interest; establishment";Servicios;Av. de la Albufera, 51, Puente de Vallecas, 28038 Madrid, Spain;50;1;No Disponible;Abierto;403961804;-3,66487E+15;https://www.google.com/maps/place/?q=place_id:ChIJAQmzaConQg0RSUCKCIqgAyc;https://www.caixabank.es/particular/home/particulares_es.html?Origen=GMB;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours'];900 404 090;FALSO;VERDADERO
ChIJmQ1Xtt0lQg0R6JRD-MRFMM4;Cajero automático ING Direct;Cajeros automáticos;"atm; finance; point_of_interest; establishment";Servicios;Av. de la Albufera, 153, Puente de Vallecas, 28038 Madrid, Spain;13;72;No Disponible;Abierto;4039255;-36557888;https://www.google.com/maps/place/?q=place_id:ChIJmQ1Xtt0lQg0R6JRD-MRFMM4;http://www.ingdirect.es/;['Monday: 9:00\u202fAM\u2009–\u20099:30\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20099:30\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20099:30\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20099:30\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20099:30\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20099:30\u202fPM', 'Sunday: Closed'];916 34 92 00;FALSO;VERDADERO
