PLACE_ID,NOMBRE_TUI,TIPOS_TUI,CATEGORIA_TUI,DIRECCION,RATING_TUI,TOTAL_VALORACIONES_TUI,PRECIO,ESTADO_NEGOCIO,LATITUD_TUI,LONGITUD_TUI,URL,WEBSITE,HORARIO,TELEFONO,RESERVA_POSIBLE,ACCESIBILIDAD_SILLA_RUEDAS
ChIJzfrit3koQg0R1zyNFMJZkAU,Church of Saint Nicholas,"Iglesias,Iglesias",ESPACIOS RELIGIOSOS,"Pl. de San Nicolás, 6, Centro, 28013 Madrid, Spain","4,5",391,—,Abierto,40.4159,-3.7118781999999997,https://maps.google.com/?cid=6958195467912047725,,"Monday: 8:30–9:30AM, 7:00–8:30PM | Tuesday: 8:30–9:30AM, 7:00–8:30PM | Wednesday: 8:30–9:30AM, 7:00–8:30PM | Thursday: 8:30–9:30AM, 7:00–8:30PM | Friday: 8:30–9:30AM, 7:00–8:30PM | Saturday: 8:30–9:30AM, 7:00–8:30PM | Sunday: 10:00AM–2:00PM, 7:00–9:00PM",915 59 40 64,NO,SI
ChIJcTLhkHkoQg0RzMARWjikDJI,Saint James Church - Credential of the Santiago's Road,"Iglesias,Iglesias",ESPACIOS RELIGIOSOS,"Pl. de Santiago, 24, Centro, 28013 Madrid, Spain","4,8",30,—,Abierto,40.416853700000004,-3.711280000000001,https://maps.google.com/?cid=3401292583173972691,https://www.santiagoysanjuan.org/camino-de-santiago,"Monday: 10:00AM–1:00PM, 6:00–8:00PM | Tuesday: 10:00AM–1:00PM, 6:00–8:00PM | Wednesday: 10:00AM–1:00PM, 6:00–8:00PM | Thursday: 10:00AM–1:00PM, 6:00–8:00PM | Friday: 10:00AM–1:00PM, 6:00–8:00PM | Saturday: 10:00AM–1:00PM, 6:00–8:00PM | Sunday: 11:00AM–1:00PM, 6:00–8:00PM",915 48 08 24,NO,SI
ChIJyRP1DJxzQQ0RohCqZJ5Wlas,Archbishop of Madrid,Iglesias,ESPACIOS RELIGIOSOS,"C. de Bailén, 8, Centro, 28013 Madrid, Spain","4,2",226,—,Abierto,40.4159,-3.7138099999999996,https://maps.google.com/?cid=13452432634522094824,https://archimadrid.org/,Monday: 9:00AM–2:00PM | Tuesday: 9:00AM–2:00PM | Wednesday: 9:00AM–2:00PM | Thursday: 9:00AM–2:00PM | Friday: 9:00AM–2:00PM | Saturday: Closed | Sunday: Closed,914 54 64 00,NO,NO
ChIJw8Youn4oQg0RLohCcxtlKJc,Church of Saint Genesius,"Iglesias,Iglesias",ESPACIOS RELIGIOSOS,"C. del Arenal, 13, Centro, 28013 Madrid, Spain","4,6",1430,—,Abierto,40.4172532,-3.7070700000000003,https://maps.google.com/?cid=7953860624813360102,http://www.parroquiadesangines.es/,"Monday: 8:45AM–1:00PM, 7:00–8:45PM | Tuesday: 8:45AM–1:00PM, 7:00–8:45PM | Wednesday: 8:45AM–1:30PM, 6:30–8:45PM | Thursday: 8:45AM–1:00PM, 7:00–8:45PM | Friday: 8:45AM–1:00PM, 7:00–8:45PM | Saturday: 8:45AM–1:00PM, 7:00–8:45PM | Sunday: 9:45AM–1:45PM, 7:00–8:45PM",618 05 06 69,NO,NO
ChIJ8a6j_nsoQg0RYRHcrCwf1E8,Oratorio del Santo Niño del Remedio,"Iglesias,Iglesias",ESPACIOS RELIGIOSOS,"C. de los Donados, 6, Centro, 28013 Madrid, Spain","4,7",467,—,Abierto,40.4181186,-3.7082635999999995,https://maps.google.com/?cid=16535787930259190896,http://www.parroquiadesangines.es/,"Monday: 8:45AM–1:00PM, 7:00–8:45PM | Tuesday: 8:45AM–1:00PM, 7:00–8:45PM | Wednesday: 8:45AM–1:30PM, 6:30–8:45PM | Thursday: 8:45AM–1:00PM, 7:00–8:45PM | Friday: 8:45AM–1:00PM, 7:00–8:45PM | Saturday: 8:45AM–1:00PM, 7:00–8:45PM | Sunday: 9:45AM–1:45PM, 7:00–8:45PM",618 05 06 69,NO,SI
ChIJg_l9oH4oQg0Rs4JW-pdrBqg,Iglesia San Martin,"Iglesias,Iglesias",ESPACIOS RELIGIOSOS,"C. de San Martín, 5, Centro, 28013 Madrid, Spain",4,1,Barato,Cerrado temporalmente,40.4178036,-3.7068053999999995,https://maps.google.com/?cid=2451785663927298773,https://www.esmadrid.com/informacion-turistica/iglesia-de-san-martin,,,NO,NO
ChIJEZMXGQApQg0RTpoqCH3j16w,Iglesias católica Espíritu Santo,"Iglesias,Iglesias",ESPACIOS RELIGIOSOS,"C. de Fomento, 3, Centro, Centro, 28013 Madrid, Spain",4,1,Moderado,Abierto,40.420002200000006,-3.7095618000000004,https://maps.google.com/?cid=6225580417750551127,,,,NO,NO
ChIJ9aqCun4oQg0RFbGJ1XOYAl0,Pías Discipulas del Divino Maestro,"Iglesias,Iglesias",ESPACIOS RELIGIOSOS,"C. de Bordadores, 11, Centro, 28013 Madrid, Spain",0,0,Barato,Abierto,40.4170784,-3.7073400000000007,https://maps.google.com/?cid=9828928468586200535,,,915 59 06 69,NO,NO
ChIJBTl0DAApQg0R6Z17HY1x774,Parroquia San Juan Apóstol y Evangelista,"Iglesias,Iglesias",ESPACIOS RELIGIOSOS,"Cuesta de Sto. Domingo, 5, Centro, Centro, 28013 Madrid, Spain",0,0,—,Abierto,40.4194,-3.7098907,https://maps.google.com/?cid=11992752508267613937,,,,NO,NO
ChIJj4lHOQApQg0RpdBtlPkvjHc,??????,"Iglesias,Iglesias",ESPACIOS RELIGIOSOS,"Palacio, Centro, 28013 Madrid, Spain",0,0,—,Abierto,40.41609999999999,-3.7090099999999993,https://maps.google.com/?cid=556523731599270694,,,,NO,NO
ChIJ6118_X0oQg0RIgDP77enaGM,Parroquia de Nuestra Señora del Carmen y San Luis,"Iglesias,Iglesias",ESPACIOS RELIGIOSOS,"C. del Carmen, 10, Centro, 28013 Madrid, Spain","4,6",1037,—,Abierto,40.4182321,-3.7038121000000004,https://maps.google.com/?cid=9354569648704122381,http://hermandadlosgitanosmadrid.es/corporacion/parroquiadelcarmenysanluis/,Monday: 9:30AM–9:00PM | Tuesday: 9:30AM–9:00PM | Wednesday: 9:30AM–9:00PM | Thursday: 9:30AM–9:00PM | Friday: 9:30AM–9:00PM | Saturday: 9:30AM–9:00PM | Sunday: 9:30AM–9:00PM,915 22 67 69,NO,NO
ChIJZ8xFdJ0oQg0RNQX37JrSye8,Brotherhood of Gypsies,"Iglesias,Iglesias",ESPACIOS RELIGIOSOS,"C. del Carmen, 10, Centro, 28013 Madrid, Spain","4,3",46,Caro,Abierto,40.4180223,-3.7038699999999998,https://maps.google.com/?cid=11849979620413171376,http://www.hermandadlosgitanosmadrid.es/,,635 78 54 53,NO,SI
ChIJwUKVSQApQg0RfIfn2zl9nh8,catedral almuneda,"Iglesias,Iglesias",ESPACIOS RELIGIOSOS,"C. de la Aduana, 19, Centro, Centro, 28013 Madrid, Spain",0,0,—,Abierto,40.418538,-3.7012699999999996,https://maps.google.com/?cid=14840383621512391059,,,,NO,NO
ChIJV2sWn4AoQg0RX_lmTR4XFO0,Oficina Vidapasionada,"Iglesias,Iglesias",ESPACIOS RELIGIOSOS,"Prta del Sol, 4, 5a, Centro, 28013 Madrid, Spain",5,6,—,Abierto,40.41660829999999,-3.7026674,https://maps.google.com/?cid=2252486245794309274,,,623 12 59 57,NO,SI
ChIJQ0Rj2ygpQg0RlSf4bUiXVao,Hermandad,"Iglesias,Iglesias",ESPACIOS RELIGIOSOS,"Pl. del Carmen, 4, Centro, 28013 Madrid, Spain",0,0,—,Abierto,40.418418200000005,-3.70319,https://maps.google.com/?cid=16358799077440073026,,,,NO,NO
