NOMBRE_TUI,CATEGORIA_TUI,TIPOS_TUI,DIRECCION_TUI,WEBSITE,TELEFONO,HORARIO,RATING_TUI,TOTAL_VALORACIONES_TUI,GOOGLE_MAPS_URL,ESTADO_NEGOCIO,NIVEL_PRECIO,RESERVA_POSIBLE,ACCESIBILIDAD_SILLA_RUEDAS,DESCRIPCION_TUI,LATITUD_TUI,LONGITUD_TUI
Bar Restaurante 23,bares,"bar, restaurant, food, point_of_interest, establishment","Calle de la Cerámica, 23 28038 Madrid, Spain",,,Monday: 5:30 AM – 8:00 PM | Tuesday: 5:30 AM – 8:00 PM | Wednesday: 5:30 AM – 8:00 PM | Thursday: 5:30 AM – 8:00 PM | Friday: 5:30 AM – 8:00 PM | Saturday: Closed | Sunday: Closed,4.5,47,https://maps.google.com/?cid=14656423093232882155,OPERATIONAL,1,False,False,,40.40497,-3.65705
Cervecería Hevia,bares,"bar, cafe, restaurant, food, point_of_interest, establishment","Calle Alcalá, 440 28027 Madrid, Spain",,659 12 59 09,Monday: 8:00 AM – 12:30 AM | Tuesday: 8:00 AM – 12:30 AM | Wednesday: 8:00 AM – 12:30 AM | Thursday: 8:00 AM – 12:30 AM | Friday: 8:00 AM – 12:30 AM | Saturday: 12:00 PM – 1:00 AM | Sunday: 12:00 PM – 1:00 AM,4.3,741,https://maps.google.com/?cid=1649757965695544729,OPERATIONAL,1,True,False,,40.43842,-3.6356
Café de la Cruz,bares,"bar, cafe, restaurant, food, point_of_interest, store, establishment","Calle de Arturo Soria, 6 28027 Madrid, Spain",http://www.cafedelacruz.es/,913 77 42 51,Monday: 11:00 AM – 1:00 AM | Tuesday: 11:00 AM – 1:00 AM | Wednesday: 11:00 AM – 1:00 AM | Thursday: 11:00 AM – 1:00 AM | Friday: 11:00 AM – 2:30 AM | Saturday: 11:00 AM – 2:30 AM | Sunday: 11:00 AM – 1:00 AM,4.1,1293,https://maps.google.com/?cid=9202950405746010980,OPERATIONAL,2,True,True,,40.43868,-3.63819
Bar La Conserva,bares,"meal_delivery, bar, restaurant, food, point_of_interest, establishment","Paseo del Marqués de Zafra, 33 28028 Madrid, Spain",http://www.barlaconserva.com/,910 41 88 76,Monday: 9:00 AM – 12:00 AM | Tuesday: 9:00 AM – 12:00 AM | Wednesday: 9:00 AM – 12:00 AM | Thursday: 9:00 AM – 12:00 AM | Friday: 9:00 AM – 2:00 AM | Saturday: 12:00 PM – 2:00 AM | Sunday: 12:00 PM – 12:00 AM,4.4,818,https://maps.google.com/?cid=12408895026575529255,OPERATIONAL,1,True,True,,40.42593,-3.66443
Bar La Iguana,bares,"bar, point_of_interest, establishment","Calle de Virgen de Nuria, 19 28027 Madrid, Spain",,634 23 99 68,Monday: Closed | Tuesday: 5:00 PM – 12:30 AM | Wednesday: 5:00 PM – 12:30 AM | Thursday: 5:00 PM – 12:30 AM | Friday: 5:00 PM – 1:00 AM | Saturday: 12:00 PM – 1:00 AM | Sunday: 12:00 PM – 12:00 AM,3.7,115,https://maps.google.com/?cid=15255353227141315249,OPERATIONAL,1,True,True,,40.43703,-3.6512
Cervecería Olivares,bares,"bar, liquor_store, restaurant, food, point_of_interest, store, establishment","Calle Virgen del Sagrario, 19 28027 Madrid, Spain",https://cerveceria-olivares.eatbu.com/,914 03 58 66,"Monday: Closed | Tuesday: 11:30 AM – 3:30 PM, 6:30 – 11:00 PM | Wednesday: 11:30 AM – 3:30 PM, 6:30 – 11:00 PM | Thursday: 11:30 AM – 3:30 PM, 6:30 – 11:00 PM | Friday: 11:30 AM – 3:30 PM, 6:30 PM – 1:00 AM | Saturday: 11:30 AM – 3:30 PM, 6:30 PM – 1:00 AM | Sunday: 11:30 AM – 3:30 PM",4.4,676,https://maps.google.com/?cid=12989631184533752834,OPERATIONAL,1,False,False,,40.43728,-3.65067
La Carta De Rast,bares,"bar, restaurant, food, point_of_interest, establishment","Calle de Cronos, 8 28037 Madrid, Spain",http://www.lacartaderast.com/,913 04 14 53,Monday: 8:00 AM – 11:30 PM | Tuesday: 8:00 AM – 11:30 PM | Wednesday: 8:00 AM – 11:30 PM | Thursday: 8:00 AM – 11:30 PM | Friday: 8:00 AM – 11:30 PM | Saturday: 12:00 – 11:30 PM | Sunday: Closed,4.1,887,https://maps.google.com/?cid=2063506930893190600,OPERATIONAL,1,True,True,Polished standby serving traditional Spanish specialties in serene surroundings.,40.43641,-3.6205
Bar Alonso,bares,"bar, restaurant, food, point_of_interest, establishment","Calle de Virgen de Lluc, 20 28027 Madrid, Spain",,914 04 42 91,Monday: 8:00 AM – 12:00 AM | Tuesday: 8:00 AM – 12:00 AM | Wednesday: 8:00 AM – 12:00 AM | Thursday: 8:00 AM – 12:00 AM | Friday: 8:00 AM – 12:00 AM | Saturday: 8:00 AM – 12:00 AM | Sunday: Closed,4.5,454,https://maps.google.com/?cid=5993135712673256586,OPERATIONAL,1,True,False,,40.43446,-3.65372
Rodamari,bares,"bar, restaurant, food, point_of_interest, establishment","Calle Virgen del Sagrario, 32 28027 Madrid, Spain",,,Monday: Closed | Tuesday: 7:30 AM – 12:00 AM | Wednesday: 7:30 AM – 12:00 AM | Thursday: 7:30 AM – 12:00 AM | Friday: 7:30 AM – 12:00 AM | Saturday: 9:00 AM – 12:00 AM | Sunday: 9:00 AM – 12:00 AM,4.1,1026,https://maps.google.com/?cid=4590497021830679809,OPERATIONAL,1,True,True,,40.43809,-3.65082
Gula pintxosbar,bares,"restaurant, bar, food, point_of_interest, establishment","Calle de Sirio, 54 28007 Madrid, Spain",https://gulapintxosbar.com/,650 76 52 20,Monday: 10:30 AM – 12:30 AM | Tuesday: 10:30 AM – 12:30 AM | Wednesday: 10:30 AM – 12:30 AM | Thursday: 10:30 AM – 1:00 AM | Friday: 10:30 AM – 1:30 AM | Saturday: 12:00 PM – 1:30 AM | Sunday: 12:00 PM – 12:30 AM,4.1,811,https://maps.google.com/?cid=6964896127708916845,OPERATIONAL,2,True,False,,40.41007,-3.66491
2m group,discotecas,"night_club, point_of_interest, establishment","Calle de Gutierre de Cetina, 103 28017 Madrid, Spain",http://www.2mgroup.es/,661 82 82 82,Monday: 10:30 AM – 2:00 PM | Tuesday: 10:30 AM – 2:00 PM | Wednesday: 10:30 AM – 2:00 PM | Thursday: 10:30 AM – 2:00 PM | Friday: 10:30 AM – 2:00 PM | Saturday: Closed | Sunday: Closed,4.6,11,https://maps.google.com/?cid=2521753164811505611,OPERATIONAL,,False,False,,40.42859,-3.64
Nuvo Latín Bar,discotecas,"night_club, point_of_interest, establishment","Calle del Estrecho de Gibraltar, 12 28027 Madrid, Spain",,,Monday: 8:00 PM – 3:00 AM | Tuesday: Closed | Wednesday: Closed | Thursday: 8:00 PM – 3:00 AM | Friday: 8:00 PM – 5:30 AM | Saturday: 8:00 PM – 5:30 AM | Sunday: 8:00 PM – 3:30 AM,4.4,266,https://maps.google.com/?cid=16366122644488302300,OPERATIONAL,1,True,False,,40.43674,-3.64152
